"trip_id","H","S","D"
1640,22:54:00,,
1640,23:12:00,,
1640,23:30:00,,
1640,23:48:00,,
1640,00:06:00,,
1640,00:24:00,,
1640,00:42:00,,
1640,01:00:00,,
1638,05:20:00,05:46:00,06:00:00
1638,05:40:00,06:10:00,06:35:00
1638,06:00:00,06:28:00,07:14:00
1638,06:20:00,06:52:00,07:53:00
1638,06:31:00,07:12:00,08:13:00
1638,06:42:00,07:28:00,08:32:00
1638,06:53:00,07:36:00,08:50:00
1638,07:04:00,07:52:00,09:11:00
1638,07:10:00,08:00:00,09:27:00
1638,07:15:00,08:12:00,09:50:00
1638,07:28:00,08:24:00,10:04:00
1638,07:40:00,08:36:00,10:16:00
1638,07:48:00,08:48:00,10:29:00
1638,07:57:00,09:00:00,10:42:00
1638,08:05:00,09:12:00,10:55:00
1638,08:14:00,09:24:00,11:08:00
1638,08:22:00,09:36:00,11:21:00
1638,08:31:00,09:48:00,11:34:00
1638,08:39:00,10:00:00,11:47:00
1638,08:48:00,10:12:00,12:00:00
1638,08:56:00,10:24:00,12:13:00
1638,09:05:00,10:36:00,12:26:00
1638,09:13:00,10:48:00,12:39:00
1638,09:22:00,11:00:00,12:52:00
1638,09:30:00,11:12:00,13:05:00
1638,09:39:00,11:24:00,13:18:00
1638,09:47:00,11:36:00,13:31:00
1638,09:56:00,11:48:00,13:44:00
1638,10:04:00,12:00:00,13:57:00
1638,10:13:00,12:12:00,14:10:00
1638,10:21:00,12:24:00,14:23:00
1638,10:30:00,12:36:00,14:36:00
1638,10:38:00,12:48:00,14:49:00
1638,10:47:00,13:00:00,15:02:00
1638,10:55:00,13:12:00,15:15:00
1638,11:04:00,13:24:00,15:28:00
1638,11:12:00,13:36:00,15:41:00
1638,11:21:00,13:48:00,15:54:00
1638,11:29:00,14:00:00,16:07:00
1638,11:38:00,14:12:00,16:20:00
1638,11:47:00,14:24:00,16:33:00
1638,11:56:00,14:36:00,16:46:00
1638,12:05:00,14:48:00,16:59:00
1638,12:14:00,15:00:00,17:12:00
1638,12:23:00,15:12:00,17:25:00
1638,12:32:00,15:36:00,17:38:00
1638,12:41:00,16:00:00,17:51:00
1638,12:50:00,16:24:00,18:04:00
1638,12:59:00,16:48:00,18:17:00
1638,13:08:00,17:00:00,18:30:00
1638,13:17:00,17:12:00,18:43:00
1638,13:26:00,17:36:00,18:56:00
1638,13:35:00,17:48:00,19:09:00
1638,13:44:00,18:00:00,19:22:00
1638,13:53:00,18:10:00,19:35:00
1638,14:05:00,18:24:00,19:48:00
1638,14:20:00,18:36:00,20:01:00
1638,14:32:00,18:48:00,20:14:00
1638,14:44:00,19:00:00,20:27:00
1638,14:56:00,19:12:00,20:40:00
1638,15:08:00,19:24:00,20:53:00
1638,15:20:00,19:36:00,21:06:00
1638,15:32:00,19:48:00,21:19:00
1638,15:44:00,20:00:00,21:45:00
1638,15:56:00,20:12:00,21:58:00
1638,16:08:00,20:24:00,22:21:00
1638,16:20:00,20:36:00,22:39:00
