"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route-trip","codigo-de-sub-ramal","descripcion","destino"
3180,3337,"G-01-014D",1,1,14146,14146,"014D-BcoEnc-Pan-Nat","014D - Escolar Blanco Encalada de las 07:15 hs"
3181,3337,"G-01-014D",0,1,14146,14146,"014D-BcoEnc-Pan-Nat","014D - Escolar Blanco Encalada de las 07:15 hs"
2282,3338,"G-01-014E",1,1,14147,14147,"014E-BcoEnc-Pan-Loc.","014E - Escolar Blanco Encalada de las 08:10 hs"
2283,3338,"G-01-014E",0,1,14147,14147,"014E-BcoEnc-Pan-Loc.","014E - Escolar Blanco Encalada de las 08:10 hs"
2284,3338,"G-01-014E",1,1,14148,14148,"014E-BcoEnc-Pan-Loc.","014E- Escolar Blanco Encalada de las 12:20 hs"
2285,3338,"G-01-014E",0,1,14148,14148,"014E-BcoEnc-Pan-Loc.","014E - Escolar Blanco Encalada de las 12:20 hs"
3182,3338,"G-01-014E",1,1,14149,14149,"014E-BcoEnc-Pan-Loc.","014E - Escolar Blanco Encalada de las 12:30 hs"
3183,3338,"G-01-014E",0,1,14149,14149,"014E-BcoEnc-Pan-Loc.","014E - Escolar Blanco Encalada de las 12:30 hs"
2290,3339,"G-01-014F",1,1,14150,14150,"014F-BcoEnc/Pan/Loc.","014F - Escolar Blanco Encalada de las 18:25 hs"
2291,3339,"G-01-014F",0,1,14150,14150,"014F-BcoEnc/Pan/Loc.","014F - Escolar Blanco Encalada de las 18:25 hs"
2326,3339,"G-01-014F",1,1,14169,14169,"014F-BcoEnc/Pan/Loc.","014F- Lujan - Blanco Encalada x Panamericana"
2327,3339,"G-01-014F",0,1,14169,14169,"014F-BcoEnc/Pan/Loc.","014F - Blanco Encalada por Panamericana - Lujan"
3166,3335,"G-01-014B",0,1,14500,14500,"014B-Bco Enc Pan.","014B - Escolar Blanco Encalada de las 06:08 hs"
3175,3335,"G-01-014B",0,1,14500,14500,"014B-Bco Enc Pan.","014B - Escolar Blanco Encalada de las 17:00 hs"
3169,3335,"G-01-014B",1,1,14501,14501,"014B-Bco Enc Pan.","014B - Escolar Blanco Encalda de las 11:40 hs"
3170,3335,"G-01-014B",0,1,14501,14501,"014B-Bco Enc Pan.","014B - Escolar Blanco Encalada de las 11:40 hs"
2273,3336,"G-01-014C",1,1,14502,14502,"014C-BcoEn-Pan-Sol","014C - Escolar Blanco Encalada de las 13:00 hs"
3176,3336,"G-01-014C",0,1,14502,14502,"014C-BcoEn-Pan-Sol","014C - Escolar Blanco Encalada de las 13:00 hs"
2278,3337,"G-01-014D",1,1,14503,14503,"014D-BcoEnc-Pan-Nat","014D - Escolar Blanco Encalada de las 17:50 hs"
3179,3337,"G-01-014D",0,1,14503,14503,"014D-BcoEnc-Pan-Nat","014D - Escolar Blanco Encalada de las 17:50 hs"
3177,3337,"G-01-014D",1,1,14504,14504,"014D-BcoEnc-Pan-Nat","014D - Escolar Blanco Encalada de las 16:25 hs"
3178,3337,"G-01-014D",0,1,14504,14504,"014D-BcoEnc-Pan-Nat","014D - Escolar Blanco Encalada de las 16:25 hs"
3186,3339,"G-01-014F",1,1,14505,14505,"014F-BcoEnc/Pan/Loc.","014F - Escolar Blanco Encalada de las 17:40 hs"
3187,3339,"G-01-014F",0,1,14505,14505,"014F-BcoEnc/Pan/Loc.","014F - Escolar Blanco Encalada de las 17:40 hs"
2293,3317,"G-01-015",1,1,15151,15151,"015-B.Cast.-Ch.-Ctro","015 - B. Los Castaños - Chacras de Coria - Centro por Cervantes"
2294,3317,"G-01-015",0,1,15151,15151,"015-B.Cast.-Ch.-Ctro","015 - Centro - Chacras - B. Los Castaños por Cervantes"
2295,3317,"G-01-015",1,1,15152,15152,"015-B.Cast.-Ch.-Ctro","015 - B. Los Castaños - Chacras de Coria - Centro por Cervantes"
3050,3317,"G-01-015",0,1,15152,15152,"015-B.Cast.-Ch.-Ctro","015 - Centro - Chacras de Coria - B  Los Castaños"
2298,3317,"G-01-015",0,1,15153,15153,"015-B.Cast.-Ch.-Ctro","015 - Centro - Chacras - B  Los Castaños por Cervantes"
3058,3317,"G-01-015",1,1,15153,15153,"015-B.Cast.-Ch.-Ctro","015 - B  Los Castaños - Cementerio Parque Jardin Mendoza - Centro"
2299,3331,"G-01-016A",1,1,16161,16161,"016A-L.Ch.S EL.SMSur","016 - Lujan - Chacras de Coria por San Martín Sur - Centro"
2300,3331,"G-01-016A",0,1,16161,16161,"016A-L.Ch.S EL.SMSur","016 - Centro - Chacras por San Martin Sur - Lujan"
2301,3331,"G-01-016A",1,1,16162,16162,"016A-L.Ch.S EL.SMSur","016 - Lujan - Chacras - Centro por Santa Elena"
2302,3331,"G-01-016A",0,1,16162,16162,"016A-L.Ch.S EL.SMSur","016 - Centro - Chacras de Coria por Santa Elena - Lujan"
2303,3333,"G-01-016ESC",1,1,16163,16163,"016ES -Esc.S.Elena","016 - Escolar Santa Elena de las 07:15 hs"
2304,3333,"G-01-016ESC",0,1,16163,16163,"016ES -Esc.S.Elena","016 - Escolar Santa Elena de las 07:15 hs"
2312,3333,"G-01-016ESC",1,1,16164,16164,"016ES -Esc.S.Elena","016 - Escolar Santa Elena de las 12:20 hs"
2313,3333,"G-01-016ESC",0,1,16164,16164,"016ES -Esc.S.Elena","016 - Escolar Santa Elena de las 12:20"
2320,3333,"G-01-016ESC",1,1,16165,16165,"016ES -Esc.S.Elena","016 - Escolar Santa Elena de las 17:40 hs"
2321,3333,"G-01-016ESC",0,1,16165,16165,"016ES -Esc.S.Elena","016 - Escolar Santa Elena de las 17:40 hs"
2322,3332,"G-01-016B",1,1,16167,16167,"016B-L.UNC.S.El.","016 - Santa Elena - Chacras Universidades"
2323,3332,"G-01-016B",0,1,16167,16167,"016B-L.UNC.S.El.","016 - Universidades - Chacras - Lujan"
2324,3332,"G-01-016B",1,1,16168,16168,"016B-L.UNC.S.El.","016 - Lujan - Universidades"
2325,3332,"G-01-016B",0,1,16168,16168,"016B-L.UNC.S.El.","016 - Universidades - Chacras - S. Elena - Lujan"
2328,3318,"G-01-017",1,1,17171,17171,"017-B.Aler-Luj-Maipu","017 - Carrodilla - B. Los Alerces - Lujan"
2329,3318,"G-01-017",0,1,17171,17171,"017-B.Aler-Luj-Maipu","017 - Lujan - B  Los Alerces - Carrodilla"
