"stop_id","stop_name","cliente","tipo","calle","numero","entre","EsCartelInt","Activo","stop_lat","stop_lon"
"M5440","25404","Sec.Trans. Mendoza","Poste","Avenida San Martín Sur",2000,"LORIA","No","Si",-32.9464162311,-68.8525916045
"M5441","25405","Sec.Trans. Mendoza","Poste","Peltier",1,"P. Moreno","No","Si",-32.9468166193,-68.849162902
"M5442","25406","Sec.Trans. Mendoza","Poste","Mansilla",1999,"PELTIER","No","Si",-32.9470501306,-68.8478912603
"M5443","25407","Sec.Trans. Mendoza","Poste","Peltier",200,"MANSILLA","No","Si",-32.9470608356,-68.8478519724
"M5444","25408","Sec.Trans. Mendoza","Poste","Peltier",199,"PELTIER","No","Si",-32.9473226887,-68.8463166686
"M5445","25409","Sec.Trans. Mendoza","Poste","Peltier",200,"FIGUEROA ALCORTA","No","Si",-32.9471131676,-68.846506174
"M5446","25410","Sec.Trans. Mendoza","Poste","Moreno P.",2050,"PELTIER","No","Si",-32.9468804478,-68.8494623111
"M5447","25410","Sec.Trans. Mendoza","Poste","Aristóbulo del Valle",1800,"PELTIER","No","Si",-32.9476854477,-68.8438241364
"M5448","25411","Sec.Trans. Mendoza","Poste","Cervantes",1799,"CERVANTES","No","Si",-32.9477765994,-68.8433076398
"M5449","25412","Sec.Trans. Mendoza","Poste","Avenida San Martín Sur",2049,"BLANCO","No","Si",-32.9469778177,-68.8530858015
"M5450","25413","Sec.Trans. Mendoza","Poste","Moreno P.",2199,"RIO PLOMO","No","Si",-32.948683821,-68.849564543
"M5451","25414","Sec.Trans. Mendoza","Poste","Moreno P.",2200,"RIO PLOMO","No","Si",-32.9490664557,-68.8496007528
"M5452","25415","Sec.Trans. Mendoza","Poste","Cervantes",1999,"PILCOMAYO","No","Si",-32.950066786,-68.844916466
"M5453","25416","Sec.Trans. Mendoza","Poste","Cervantes",2100,"ZIZZIAS","No","Si",-32.9506384777,-68.8454019459
"M5454","25417","Sec.Trans. Mendoza","Poste","Cervantes",2300,"ZIZZIAS","No","Si",-32.9540764276,-68.8481773616
"M5455","25418","Sec.Trans. Mendoza","Poste","Cervantes",2500,"BAIGORRIA","No","Si",-32.9558808758,-68.8503982307
"M5456","25419","Sec.Trans. Mendoza","Poste","Moreno P.",49,"PABLO LOOS","No","Si",-32.9532787041,-68.8512650635
"M5457","25420","Sec.Trans. Mendoza","Poste","Moreno P.",2399,"ARTIGAS","No","Si",-32.9514477568,-68.8505415376
"M5458","25421","Sec.Trans. Mendoza","Poste","Moreno P.",2400,"M. Curie","No","Si",-32.9505902257,-68.8499923553
"M5459","30467","Sec.Trans. Mendoza","Poste","Don Bosco",,"Pescara","No","Si",-32.9866927354,-68.6613445486
"M5460","25501","Sec.Trans. Mendoza","Poste","Avenida San Martín Sur",2500,"Loria","No","Si",-32.9505098788,-68.8547494416
"M5461","25502","Sec.Trans. Mendoza","Poste","Avenida del Trabajo",,"Cortazar","No","Si",-32.9528016927,-68.8542910276
"M5462","25503","Sec.Trans. Mendoza","Poste","Moreno P.",200,"AVENIDA DEL TRABAJO","No","Si",-32.9535133372,-68.8519436624
"M5463","25504","Sec.Trans. Mendoza","Poste","Avenida del Trabajo",,"PERITO MORENO","No","Si",-32.9543704114,-68.8522176801
"M5464","25505","Sec.Trans. Mendoza","Poste","Moreno P.",1699,"PERITO MORENO","No","Si",-32.9552249575,-68.8522445936
"M5465","25506","Sec.Trans. Mendoza","Poste","Baigorria S.",1899,"BAIGORRIA","No","Si",-32.9548564169,-68.8517532255
"M5466","25507","Sec.Trans. Mendoza","Poste","Darío",,"ROLDAN","No","Si",-32.9561307627,-68.8539276423
"M5467","25508","Sec.Trans. Mendoza","Poste","Darío",,"PERITO MORENO","No","Si",-32.9564638519,-68.8531028631
"M5468","25509","Sec.Trans. Mendoza","Poste","Cervantes",2799,"SAN ALBERTO","No","Si",-32.9576307108,-68.851607907
"M5469","25510","Sec.Trans. Mendoza","Poste","Cervantes",2800,"La Carrodilla","No","Si",-32.9581421512,-68.8524051936
