trip_id,id,nombre,codigo,descripcion,destino,ida-vuelta,activo,trip_headsign
2270,3336,G-01-014C,14144,014C-BcoEn-Pan-Sol,014C- Escolar Blanco Encalada de las 07:25 hs,0,1,CONTROL LUJAN
2271,3336,G-01-014C,14145,014C-BcoEn-Pan-Sol,014C - Escolar Blanco Encalada de las 06:55 hs,1,1,LOCAL
2272,3336,G-01-014C,14145,014C-BcoEn-Pan-Sol,014C- Escolar Blanco Encalada de las 06:55 hs,0,1,CONTROL LUJAN
3180,3337,G-01-014D,14146,014D-BcoEnc-Pan-Nat,014D - Escolar Blanco Encalada de las 07:15 hs,1,1,PANAMERICANA (NATAN)
3181,3337,G-01-014D,14146,014D-BcoEnc-Pan-Nat,014D - Escolar Blanco Encalada de las 07:15 hs,0,1,CONTROL LUJAN
2282,3338,G-01-014E,14147,014E-BcoEnc-Pan-Loc.,014E - Escolar Blanco Encalada de las 08:10 hs,1,1,LOCAL
2283,3338,G-01-014E,14147,014E-BcoEnc-Pan-Loc.,014E - Escolar Blanco Encalada de las 08:10 hs,0,1,CONTROL LUJAN
2284,3338,G-01-014E,14148,014E-BcoEnc-Pan-Loc.,014E- Escolar Blanco Encalada de las 12:20 hs,1,1,LOCAL
2285,3338,G-01-014E,14148,014E-BcoEnc-Pan-Loc.,014E - Escolar Blanco Encalada de las 12:20 hs,0,1,CONTROL LUJAN
3182,3338,G-01-014E,14149,014E-BcoEnc-Pan-Loc.,014E - Escolar Blanco Encalada de las 12:30 hs,1,1,PANAMERICANA (NATAN)
3183,3338,G-01-014E,14149,014E-BcoEnc-Pan-Loc.,014E - Escolar Blanco Encalada de las 12:30 hs,0,1,CONTROL LUJAN
2290,3339,G-01-014F,14150,014F-BcoEnc/Pan/Loc.,014F - Escolar Blanco Encalada de las 18:25 hs,1,1,LOCAL
2291,3339,G-01-014F,14150,014F-BcoEnc/Pan/Loc.,014F - Escolar Blanco Encalada de las 18:25 hs,0,1,CONTROL LUJAN
2326,3339,G-01-014F,14169,014F-BcoEnc/Pan/Loc.,014F- Lujan - Blanco Encalada x Panamericana,1,1,BLANCO ENCALADA
2327,3339,G-01-014F,14169,014F-BcoEnc/Pan/Loc.,014F - Blanco Encalada por Panamericana - Lujan,0,1,CONTROL LUJAN
3166,3335,G-01-014B,14500,014B-Bco Enc Pan.,014B - Escolar Blanco Encalada de las 06:08 hs,0,1,CONTROL LUJAN
3175,3335,G-01-014B,14500,014B-Bco Enc Pan.,014B - Escolar Blanco Encalada de las 17:00 hs,0,1,CONTROL LUJAN
3169,3335,G-01-014B,14501,014B-Bco Enc Pan.,014B - Escolar Blanco Encalda de las 11:40 hs,1,1,PANAMERICANA (NATAN)
3170,3335,G-01-014B,14501,014B-Bco Enc Pan.,014B - Escolar Blanco Encalada de las 11:40 hs,0,1,CONTROL LUJAN
2273,3336,G-01-014C,14502,014C-BcoEn-Pan-Sol,014C - Escolar Blanco Encalada de las 13:00 hs,1,1,LOCAL
3176,3336,G-01-014C,14502,014C-BcoEn-Pan-Sol,014C - Escolar Blanco Encalada de las 13:00 hs,0,1,CONTROL LUJAN
2278,3337,G-01-014D,14503,014D-BcoEnc-Pan-Nat,014D - Escolar Blanco Encalada de las 17:50 hs,1,1,PANAMERICANA (NATAN)
3179,3337,G-01-014D,14503,014D-BcoEnc-Pan-Nat,014D - Escolar Blanco Encalada de las 17:50 hs,0,1,CONTROL LUJAN
3177,3337,G-01-014D,14504,014D-BcoEnc-Pan-Nat,014D - Escolar Blanco Encalada de las 16:25 hs,1,1,PANAMERICANA (NATAN)
3178,3337,G-01-014D,14504,014D-BcoEnc-Pan-Nat,014D - Escolar Blanco Encalada de las 16:25 hs,0,1,CONTROL LUJAN
3186,3339,G-01-014F,14505,014F-BcoEnc/Pan/Loc.,014F - Escolar Blanco Encalada de las 17:40 hs,1,1,PANAMERICANA (NATAN)
3187,3339,G-01-014F,14505,014F-BcoEnc/Pan/Loc.,014F - Escolar Blanco Encalada de las 17:40 hs,0,1,CONTROL LUJAN
2293,3317,G-01-015,15151,015-B.Cast.-Ch.-Ctro,015 - B. Los Castaños - Chacras de Coria - Centro por Cervantes,1,1,CENTRO
2294,3317,G-01-015,15151,015-B.Cast.-Ch.-Ctro,015 - Centro - Chacras - B. Los Castaños por Cervantes,0,1,CARRODILLA
2295,3317,G-01-015,15152,015-B.Cast.-Ch.-Ctro,015 - B. Los Castaños - Chacras de Coria - Centro por Cervantes,1,1,CENTRO
3050,3317,G-01-015,15152,015-B.Cast.-Ch.-Ctro,015 - Centro - Chacras de Coria - B  Los Castaños,0,1,CHACRAS DE CORIA
2298,3317,G-01-015,15153,015-B.Cast.-Ch.-Ctro,015 - Centro - Chacras - B  Los Castaños por Cervantes,0,1,CHACRAS DE CORIA
3058,3317,G-01-015,15153,015-B.Cast.-Ch.-Ctro,015 - B  Los Castaños - Cementerio Parque Jardin Mendoza - Centro,1,1,CENTRO
2299,3331,G-01-016A,16161,016A-L.Ch.S EL.SMSur,016 - Lujan - Chacras de Coria por San Martín Sur - Centro,1,1,CENTRO
2300,3331,G-01-016A,16161,016A-L.Ch.S EL.SMSur,016 - Centro - Chacras por San Martin Sur - Lujan,0,1,LUJAN
2301,3331,G-01-016A,16162,016A-L.Ch.S EL.SMSur,016 - Lujan - Chacras - Centro por Santa Elena,1,1,CENTRO
