trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,card_code,active
2322,3,,B-L.Unc.S.El.,016 - Santa Elena - Chacras Universidades,1,2322,167,True
2323,3,,B-L.Unc.S.El.,016 - Universidades - Chacras - Lujan,0,2323,167,True
2324,3,,B-L.Unc.S.El.,016 - Lujan - Universidades,1,2324,168,True
2325,3,,B-L.Unc.S.El.,016 - Universidades - Chacras - S. Elena - Lujan,0,2325,168,True
2328,4,,B.Aler-Luj-Maipu,017 - Carrodilla - B. Los Alerces - Lujan,1,2328,171,True
2329,4,,B.Aler-Luj-Maipu,017 - Lujan - B  Los Alerces - Carrodilla,0,2329,171,True
2333,4,,B.Aler-Luj-Maipu,017 - Lujan - Cementerio Lujan - B. Los Alerces,1,2333,172,True
2334,4,,B.Aler-Luj-Maipu,017 - Lujan - B. Los Alerces,0,2334,172,True
2338,4,,B.Aler-Luj-Maipu,017-Lujan - Maipu,1,2338,173,True
2339,4,,B.Aler-Luj-Maipu,017-Maipu - Lujan,0,2339,173,True
2336,5,,Exp. Roca C.Gob.,018 - Expreso Roca - Casa de Gobierno,0,2336,181,True
3032,5,,Exp. Roca C.Gob,018 - Expreso Roca por Casa de Gobierno,1,3032,181,True
2337,5,,Exp. Roca Cgob.,018 - Expreso Roca,1,2337,182,True
3036,5,,Exp. Roca C.Gob.,018-Expreso Roca,0,3036,182,True
2340,6,,A-Luj.Ctro.Drumm.,019 - Lujan - Mendoza por Drummond - B. 27 de Abril,1,2340,189,True
2341,6,,A-Luj.Ctro.Drumm.,019 - Centro - Lujan por Drummond - B. 27 de Abril,0,2341,189,True
2342,6,,B-Lj.Huen.Ctro.Lb,019 - Lujan - Mendoza por Av. Libertad - B. Las Parras,1,2342,190,True
2343,6,,B-Lj.Huen.Ctro.Lb,019 - Centro - Lujan por Av. Libertad - B. Las Parras,0,2343,190,True
2345,6,,B-Lj.Huen.Ctro.Lb,019 - Lujan - Centro por Av. Libertad,1,2345,191,True
2346,6,,B-Lj.Huen.Ctro.Lb,019 - Centro - Lujan por Av. Libertad,0,2346,191,True
2347,6,,B-Lj.Huen.Ctro.Lb,019 - Luján - Centro por Av. Libertad - B. Huentota,1,2347,192,True
2348,6,,B-Lj.Huen.Ctro.Lb,019 - Centro - Lujan por Av. Libertad,0,2348,192,True
2349,6,,C-Lj.Ctro.Hue.Smt,019 - Lujan - Centro por Av. Libertad,1,2349,193,True
2350,6,,C-Lj.Ctro.Hue.Smt,019 - Centro - B. Huentota - Lujan por Av. Libertad,0,2350,193,True
2351,6,,A-Luj.Ctro.Drumm.,019 - Lujan - Centro por Drummond,1,2351,194,True
2352,6,,A-Luj.Ctro.Drumm.,019 - Centro - Lujan por Drummond,0,2352,194,True
2353,6,,Ex-Exp.Xs.Mt/Drm,019 - Expreso Drummond,1,2353,195,True
2354,6,,Ex-Exp.Xs.Mt/Drm,019 - Expreso por Drummond,0,2354,195,True
2355,6,,C-Lj.Ctro.Hue.Smt,019 - Lujan - Mendoza por San Martin,1,2355,196,True
2356,6,,C-Lj.Ctro.Hue.Smt,019 - Centro - Lujan por San Martin,0,2356,196,True
2357,6,,Ex-Exp.Xs.Mt/Drm,019 - Expreso por San Martin,1,2357,197,True
2358,6,,Ex-Exp.Xs.Mt/Drm,019 - Expreso por San Martin,0,2358,197,True
2359,6,,A-Luj.Ctro.Drumm.,019 - Lujan - PIP - Centro,1,2359,198,True
2360,6,,A-Luj.Ctro.Drumm.,019 - Centro - Lujan por San Martin,0,2360,198,True
2361,6,,C-Lj.Ctro.Hue.Smt,019 - Lujan Centro por San Martin,1,2361,199,True
2362,6,,C-Lj.Ctro.Hue.Smt,019 - Centro - Lujan - PIP,0,2362,199,True
2207,7,,Estanzuela Cntro,032-ESTANZUELA CNTRO,1,2207,121,True
2208,7,,Estanzuela,NULL,0,2208,121,True
2563,7,,Bes.Xpaso.S/C.Gob,032BES.XPASO.S/C.GOB,1,2563,122,True
2564,7,,32Est.G.Cruz,NULL,0,2564,122,True
2209,8,,Godoy Cruz,NULL,0,2209,131,True
2210,8,,Las Heras,NULL,1,2210,131,True
2868,9,,B S.Ana-Shop-Pque,NULL,0,2868,191,True
2363,9,,A S.Ana-Pque,SANTA ANA - PARQUE SAN MARTIN,1,2363,111,True
2364,9,,A S.Ana-Pque,NULL,0,2364,111,True
2366,9,,A S.Ana-Pque,NULL,1,2366,112,True
2554,9,,A S.Ana-Pque,NULL,0,2554,112,True
2380,9,,A S.Ana-Pque,NULL,0,2380,113,True
2560,9,,A S.Ana-Pque,NULL,1,2560,113,True
2867,9,,B S.Ana-Shop-Pque,NULL,1,2867,191,True
2865,9,,B S.Ana-Shop-Pque,NULL,1,2865,192,True
2866,9,,B S.Ana-Shop-Pque,NULL,0,2866,192,True
2381,10,,A Mun-Slnzo-C.Gob,NULL,1,2381,114,True
2382,10,,A Mun-Slnzo-C.Gob,NULL,0,2382,114,True
2571,10,,A Mun-Slnzo-C.Gob,NULL,1,2571,115,True
2573,10,,A Mun-Slnzo-C.Gob,NULL,0,2573,115,True
2576,10,,A Mun-Slnzo-C.Gob,NULL,1,2576,116,True
2577,10,,A Mun-Slnzo-C.Gob,NULL,0,2577,116,True
2578,10,,B Mun-S.Lnzo-Mun,NULL,1,2578,117,True
2579,10,,B Mun-S.Lnzo-Mun,NULL,0,2579,117,True
2580,10,,B Mun-S.Lnzo-Mun,NULL,1,2580,118,True
2581,10,,B Mun-S.Lnzo-Mun,NULL,0,2581,118,True
2582,10,,B Mun-S.Lnzo-Mun,NULL,1,2582,119,True
2583,10,,B Mun-S.Lnzo-Mun,NULL,0,2583,119,True
2584,10,,C S.Lnzo-H.L-Unc,NULL,1,2584,120,True
2585,10,,C S.Lnzo-H.L-Unc,NULL,0,2585,120,True
2395,10,,C S.Lnzo-H.L-Unc,NULL,1,2395,121,True
2396,10,,C S.Lnzo-H.L-Unc,NULL,0,2396,121,True
2587,10,,C S.Lnzo-H.L-Unc,NULL,1,2587,122,True
2815,10,,C S.Lnzo-H.L-Unc,NULL,0,2815,122,True
2400,10,,D S.Lnzo-Unc-Lic,NULL,0,2400,123,True
2609,10,,D S.Lnzo-Unc-Lic,NULL,1,2609,123,True
2642,11,,D Bel-H.L-Unc-Lic,NULL,1,2642,133,True
2589,11,,A Mun-Belgr-C.Gob,NULL,1,2589,124,True
2590,11,,A Mun-Belgr-C.Gob,NULL,0,2590,124,True
2403,11,,A Mun-Belgr-C.Gob,NULL,1,2403,125,True
2591,11,,A Mun-Belgr-C.Gob,NULL,0,2591,125,True
2592,11,,A Mun-Belgr-C.Gob,NULL,1,2592,126,True
2593,11,,A Mun-Belgr-C.Gob,NULL,0,2593,126,True
2408,11,,B Mun-Belgrano,NULL,0,2408,127,True
2588,11,,B Mun-Belgrano,NULL,1,2588,127,True
2594,11,,B Mun-Belgrano,NULL,1,2594,128,True
2595,11,,B Mun-Belgrano,NULL,0,2595,128,True
2596,11,,B Mun-Belgrano,NULL,1,2596,129,True
2597,11,,B Mun-Belgrano,NULL,0,2597,129,True
2598,11,,C Belgno-H.L-Unc,NULL,1,2598,130,True
2599,11,,C Belgno-H.L-Unc,NULL,0,2599,130,True
2416,11,,C Belgno-H.L-Unc,NULL,0,2416,131,True
2608,11,,C Belgno-H.L-Unc,NULL,1,2608,131,True
2613,11,,C Belgno-H.L-Unc,NULL,0,2613,132,True
2646,11,,D Bel-H.L-Unc-Lic,NULL,0,2646,133,True
2655,12,,A Mun-Berm.Ctro,NULL,1,2655,149,True
2660,12,,A Mun-Berm.Ctro,NULL,0,2660,149,True
2453,12,,A Mun-Berm.Ctro,NULL,1,2453,150,True
2458,12,,B Mn-Esc-Berm-Gob,NULL,0,2458,152,True
2672,12,,B Mn-Esc-Berm-Gob,NULL,1,2672,153,True
2673,12,,B Mn-Esc-Berm-Gob,NULL,0,2673,153,True
2461,12,,B Mn-Esc-Berm-Gob,NULL,1,2461,154,True
2674,12,,B Mn-Esc-Berm-Gob,NULL,0,2674,154,True
2690,12,,C Berm-Ctro-Gob,NULL,1,2690,155,True
2679,12,,C Berm-Ctro-Gob,NULL,0,2679,156,True
2687,12,,C Berm-Ctro-Gob,NULL,1,2687,156,True
2678,12,,C Berm-Ctro-Gob,NULL,1,2678,157,True
3317,12,,D Ctro-H.Lago.Unc,NULL,1,3317,158,True
3266,12,,D Ctro-H.Lago.Unc,NULL,1,3266,159,True
3321,12,,D Ctro-H.Lago.Unc,NULL,1,3321,161,True
2469,12,,F Carmen-Centro,NULL,1,2469,162,True
3323,12,,F Carmen-Centro,NULL,1,3323,163,True
3333,12,,F Carmen-Centro,NULL,1,3333,169,True
3335,12,,G Col.Hs.Gob.Ctro,NULL,1,3335,170,True
2799,12,,G Col.Hs.Gob.Ctro,NULL,1,2799,171,True
3337,12,,G Col.Hs.Gob.Ctro,NULL,1,3337,172,True
3339,12,,H C.Seg.-Centro,NULL,1,3339,173,True
3259,12,,H C.Seg.-Centro,NULL,1,3259,174,True
3264,12,,H C.Seg.-Centro,NULL,0,3264,174,True
3341,12,,H C.Seg.-Centro,NULL,1,3341,175,True
3342,12,,H C.Seg.-Centro,NULL,0,3342,175,True
3343,12,,I C.Segovia-Ctro,NULL,1,3343,176,True
3344,12,,I C.Segovia-Ctro,NULL,0,3344,176,True
3345,12,,I C.Segovia-Ctro,NULL,1,3345,177,True
3346,12,,I C.Segovia-Ctro,NULL,0,3346,177,True
2689,12,,I C.Segovia-Ctro,NULL,1,2689,178,True
2805,12,,I C.Segovia-Ctro,NULL,0,2805,178,True
3195,12,,J Berm-Esc.Cart,NULL,0,3195,187,True
2517,12,,J Berm-Esc.Cart,NULL,1,2517,188,True
2522,12,,J Berm-Esc.Cart,NULL,0,2522,188,True
2523,12,,J Berm-Esc.Cart,NULL,1,2523,189,True
2524,12,,J Berm-Esc.Cart,NULL,0,2524,189,True
2968,12,,K-M.C.Nieve.Ctro,54 NOTTIX TIRASSO,1,2968,193,True
3314,12,,K-Mc.Nieve.Ctro,NULL,0,3314,193,True
3188,12,,K-M.C.Nieve.Ctro,NULL,1,3188,196,True
3189,12,,K-M.C.Nieve.Ctro,NULL,0,3189,196,True
2692,13,,A Centro-C.Molina,NULL,0,2692,155,True
3282,13,,A Centro-C.Molina,NULL,0,3282,157,True
3318,13,,A Centro-C.Molina,NO APARECÍA EN EL EXCEL DE GABRIEL,0,3318,158,True
3267,13,,B-Ctro.Col Seg.,NULL,0,3267,159,True
3320,13,,B-Ctro.Col Seg.,NO APARECÍA EN EL EXCEL DE GABRIEL,0,3320,160,True
3322,13,,B-Ctro.Col Seg.,NO APARECÍA EN EL EXCEL DE GABRIEL,0,3322,161,True
2487,13,,C Centro-C.Seg.,NULL,0,2487,162,True
