stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
9344,M9344,,Paso Hondo,-32.8341088629,-68.7662032433,Paso Hondo,,BOGADO,
9345,M9345,,Paso Hondo,-32.8370656811,-68.7682041713,Paso Hondo,,ARISTOVOLO D VALLE,
9346,M9346,,Avenida Godoy Cruz 101,-32.8835144579,-68.8398137875,Avenida Godoy Cruz,101,ESPAÑA,
9347,M9347,,Suipacha 2142,-32.8789345793,-68.8462296315,Suipacha,2142,PERU,
9350,M9350,,Avenida Mathus Hoyos 2400,-32.8620820097,-68.7441984006,Avenida Mathus Hoyos,2400,HOSPITA SAUSE,
9351,M9351,,Avenida Mathus Hoyos,-32.8619062755,-68.7441232987,Avenida Mathus Hoyos,,HOSPITA SAUSE,
9352,M9352,,Gomensoro 2701,-32.8864876487,-68.7964397856,Gomensoro,2701,SERVET,
9353,M9353,,Malvinas Argentinas 1701,-32.884221726,-68.808662612,Malvinas Argentinas,1701,ALLAYME,
9354,M9354,,Profesor Mathus,-32.8773470213,-68.7672734447,Profesor Mathus,,VIRGEN DEL CARMEN,
9355,M9355,,Profesor Mathus,-32.8783021236,-68.7620458194,Profesor Mathus,,PETROLERO,
9356,M9356,,Profesor Mathus,-32.8787661554,-68.7596693822,Profesor Mathus,,PAZ HERRERO,
9357,M9357,,Tirasso,-32.8823071337,-68.7551418134,Tirasso,,LOS PARRALES,
9358,M9358,,Tirasso,-32.8823431735,-68.7548253127,Tirasso,,LOS PARRALES,
9359,M9359,,Tirasso,-32.8842172211,-68.7553027459,Tirasso,,EL ZORSAL,
9360,M9360,,Tirasso 702,-32.8841271235,-68.7554475852,Tirasso,702,EL ZORSAL,
9315,M9315,,Grenon,-32.8569562874,-68.6854231544,Grenon,,MIRALLE,
9363,M9363,,Tirasso,-32.8898053416,-68.7571320124,Tirasso,,CAMPIN BANCO NACION,
9364,M9364,,Tirasso,-32.8898323691,-68.756818194,Tirasso,,CAMPIN BANCO NACION,
9365,M9365,,Ruta Nacional 188 702,-34.978026,-67.656482,Ruta Nacional 188,702,Pública Nº 7,
9366,M9366,,Tirasso,-32.8924652622,-68.7577757426,Tirasso,,SERU,
9367,M9367,,Tirasso,-32.8974515537,-68.7589666434,Tirasso,,ESMERALDA,
