service_id,service_name,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
default,,20141201,20150601,1,1,1,1,1,1,1
D,,20140801,20151201,0,0,0,0,0,0,1
H,,20140801,20151201,1,1,1,1,1,0,0
S,,20140801,20151201,0,0,0,0,0,1,0
di,,20150101,20151201,0,0,0,0,0,0,1
hi,,20150101,20151201,1,1,1,1,1,0,0
si,,20150101,20151201,0,0,0,0,0,1,0
