agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
1,Empresa Provincial de Transporte de Mendoza,http://www.eptm.gov.ar/,,,+542614567890
2,El Cacique S.A.,http://www.elcaciquesa.com/,,,+542614324226
3,Autotransportes El Trapiche SRL,http://www.eltrapicheonline.com/,,,+542614360287
4,Autotransportes Presidente Alvear Sa Y Otras Ute,,,,+542614524821
5,Transporte De Pasajeros General Roca S.r.l.,http://www.generalrocasrl.com.ar/,,,+542614260856
6,Transportes El Plumerillo S.A.,http://www.transp-elplumerillo.com.ar,,,+542614487365
7,Empresa Maipu S.r.l.,http://www.empresa-maipu.com.ar/,,,+542614972645
8,Autotransportes Los Andes S.A.,http://www.eltrapicheonline.com/,,,+542614391332
