"trip_id","service_id","start_time"
"1640","D","21:26:00"
"1640","H","12:54:00"
"1640","S","17:46:00"
"1640","D","21:38:00"
"1640","H","13:00:00"
"1640","S","17:54:00"
"1640","D","21:50:00"
"1640","H","13:06:00"
"1640","S","18:04:00"
"1640","D","22:02:00"
"1640","H","13:12:00"
"1640","S","18:13:00"
"1640","D","22:14:00"
"1640","H","13:18:00"
"1640","S","18:22:00"
"1640","D","22:26:00"
"1640","H","13:24:00"
"1640","S","18:31:00"
"1640","D","22:50:00"
"1640","H","13:30:00"
"1640","S","18:41:00"
"1640","D","23:02:00"
"1640","H","13:36:00"
"1640","S","18:50:00"
"1640","D","23:22:00"
"1640","H","13:42:00"
"1640","S","18:59:00"
"1640","D","23:39:00"
"1640","H","13:48:00"
"1640","S","19:08:00"
"1640","D","23:56:00"
"1640","H","13:54:00"
"1640","S","19:18:00"
"1640","D","00:13:00"
"1640","H","14:00:00"
"1640","S","19:27:00"
"1640","D","00:30:00"
"1640","H","14:06:00"
"1640","S","19:36:00"
"1640","D","01:02:00"
"1640","H","14:12:00"
"1640","S","19:45:00"
"1640","H","14:18:00"
"1640","S","19:55:00"
"1640","H","14:24:00"
"1640","S","20:04:00"
"1640","H","14:30:00"
"1640","S","20:13:00"
"1640","H","14:36:00"
"1640","S","20:22:00"
"1640","H","14:42:00"
"1640","S","20:32:00"
"1640","H","14:48:00"
"1640","S","20:41:00"
"1640","H","14:54:00"
"1640","S","20:50:00"
"1640","H","15:00:00"
"1640","S","20:59:00"
"1640","H","15:06:00"
"1640","S","21:09:00"
"1640","H","15:12:00"
"1640","S","21:27:00"
"1640","H","15:18:00"
"1640","S","21:36:00"
"1640","H","15:22:00"
"1640","S","21:46:00"
"1640","H","15:28:00"
"1640","S","22:04:00"
"1640","H","15:34:00"
"1640","S","22:13:00"
"1640","H","15:40:00"
"1640","S","22:21:00"
"1640","H","15:46:00"
"1640","S","22:38:00"
"1640","H","15:53:00"
"1640","S","22:55:00"
"1640","H","16:02:00"
"1640","S","23:12:00"
"1640","H","16:09:00"
"1640","S","23:29:00"
"1640","H","16:16:00"
"1640","S","23:46:00"
"1640","H","16:23:00"
"1640","S","00:02:00"
"1640","H","16:30:00"
"1640","S","00:18:00"
"1640","H","16:37:00"
"1640","S","00:34:00"
"1640","H","16:44:00"
"1640","S","00:50:00"
"1640","H","16:51:00"
"1640","S","01:06:00"
"1640","H","16:58:00"
"1640","S","01:22:00"
"1640","H","17:05:00"
"1640","S","01:54:00"
"1640","H","17:12:00"
"1640","H","17:19:00"
"1640","H","17:26:00"
"1640","H","17:33:00"
"1640","H","17:38:00"
"1640","H","17:42:00"
"1640","H","17:48:00"
"1640","H","17:54:00"
"1640","H","18:00:00"
"1640","H","18:06:00"
"1640","H","18:12:00"
"1640","H","18:18:00"
"1640","H","18:24:00"
"1640","H","18:30:00"
"1640","H","18:36:00"
"1640","H","18:42:00"
"1640","H","18:48:00"
"1640","H","18:54:00"
"1640","H","19:00:00"
"1640","H","19:06:00"
"1640","H","19:12:00"
"1640","H","19:18:00"
"1640","H","19:24:00"
"1640","H","19:30:00"
"1640","H","19:36:00"
"1640","H","19:42:00"
"1640","H","19:48:00"
"1640","H","19:54:00"
"1640","H","20:00:00"
"1640","H","20:06:00"
"1640","H","20:12:00"
"1640","H","20:18:00"
"1640","H","20:24:00"
"1640","H","20:30:00"
"1640","H","20:36:00"
"1640","H","20:42:00"
"1640","H","20:48:00"
"1640","H","20:54:00"
"1640","H","21:00:00"
"1640","H","21:06:00"
"1640","H","21:12:00"
"1640","H","21:18:00"
"1640","H","21:24:00"
"1640","H","21:30:00"
"1640","H","21:36:00"
"1640","H","21:48:00"
"1640","H","21:54:00"
"1640","H","22:00:00"
"1640","H","22:12:00"
"1640","H","22:18:00"
"1640","H","22:30:00"
"1640","H","22:42:00"
"1640","H","22:54:00"
"1640","H","23:12:00"
"1640","H","23:30:00"
"1640","H","23:48:00"
"1640","H","00:06:00"
"1640","H","00:24:00"
"1640","H","00:42:00"
"1640","H","01:00:00"
