"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.9622837208,"JUAN B JUSTO",-68.8103245385,"","Juan B. Justo","M2660","29114"
-32.961632542,"LOS MUSICOS",-68.8102324444,"","Juan B. Justo","M2661","29115"
-32.9612143402,"VINCULACION Bº ANTARTIDA",-68.8120053846,"1099","Juan B. Justo","M2662","29116"
-32.9610999518,"CALLE 12 ",-68.814102872,"1900","Juan B. Justo","M2663","29117"
-32.961078313,"CALLE 16 ",-68.8160930711,"","Los Artesanos","M2664","29118"
-32.9609471452,"CALLE 7",-68.8182763893,"","Juan B. Justo","M2665","M2919"
-32.9609069066,"LOS ESCULTORES",-68.8210719216,"","Juan B. Justo","M2666","29120"
-32.9609195616,"JUAN B JUSTO",-68.8210142779,"","Los Escultores","M2667","29121"
-32.9611986214,"LOS PINTORES",-68.8211108374,"","Los Escultores","M2668","29122"
-32.9612117805,"LOS ESCULTORES",-68.8210740976,"","Los Pintores","M2669","29123"
-32.9616286806,"CALLE 7",-68.8189276598,"","Los Pintores","M2670","29124"
-32.9616292432,"CALLE 7",-68.8188713334,"","Los Pintores","M2671","29125"
-32.9620889,"LOS ARTESANOS",-68.8168898515,"","Los Pintores","M2672","29126"
-32.9622768129,"LOS ARTESANOS",-68.8164385699,"","Los Pintores","M2673","29127"
-32.9627038861,"LOS PINTORES",-68.8146671171,"1099","Los Pintores","M2674","29128"
-32.9611415042,"JUAN B JUSTO",-68.8140803839,"","Juan B. Justo","M2675","29129"
-32.9627212758,"CALLE 12",-68.8147038512,"","Los Pintores","M2677","29131"
-32.9642369852,"LOS PERIODISTAS",-68.8152116055,"29133","Los Periodistas","M2679","29133"
-32.9642631344,"CALLEJON CONEXION ",-68.8151917155,"","Martínez B.","M2680","29134"
-32.9658243015,"MARTINEZ B.",-68.816039279,"","Los Periodistas","M2681","29135"
-32.9666546807,"LOS PERIODISTAS",-68.8167929798,"","Los Periodistas","M2682","29136"
-32.9360301591,"CERVANTES",-68.8369714464,"851","Juan XXIII","M26821","26821"
-32.9681038875,"B. LOS TENELES ",-68.8166427761,"","CALLEJON CONEXION","M2683","29137"
-32.9279069401,"El Sosneado",-68.8329507808,"102","Ampere","M26831","26831"
-32.9748957523,"J.J. PASO",-68.8014308671,"","Gargantini","M2684","29138"
-32.974221577,"GARGANTINI",-68.8058805329,"","J.J. PASO","M2685","29139"
-32.9721637938,"CALLEJON CONEXION",-68.8169895721,"","J.J. PSAO","M2686","29140"
-32.970527215,"C. MONTURA",-68.8253987754,"","J.J. PASO","M2687","29141"
-32.9695944852,"ARENALES",-68.8284491176,"","J.J. PASO","M2688","29142"
-32.9657934615,"J. B. JUSTO",-68.7917265046,"","Maza JA","M2689","29201"
-32.9672846532,"V. CORREA",-68.7845421061,"1601","Vázquez","M2690","29202"
-32.9686919783,"A. BROWN",-68.7834502064,"1402","Pescara","M2691","29203"
-32.9711942627,"LA PRIDA",-68.7840241991,"1302","Pescara","M2692","29204"
-32.9724262517,"CABRAL",-68.784323936,"1202","Pescara","M2693","29205"
-32.9736677867,"JOFRE ",-68.7846290373,"1102","Pescara","M2694","29206"
-32.971397506,"LA PRIDA",-68.7854230324,"1201","Vázquez","M2695","29207"
-32.9694296678,"EDISON ",-68.7850515465,"1401","Vázquez","M2696","29208"
-32.9690375151,"G. MISTRAL",-68.7865078277,"1402","Ozamis JA","M2697","29209"
-32.9718154407,"CABRAL",-68.7872554934,"1202","Ozamis JA","M2698","29210"
-32.9703907624,"PADRE VERA ",-68.7913757111,"301","Martínez B.","M2699","29211"
-32.9700183461,"JUAN A MAZA",-68.7929085936,"401","Martínez B.","M2700","29212"
-32.9682080664,"GRAL. LAVALLE ",-68.7924352783,"852","Maza JA","M2701","29213"
-32.9679582828,"G. MISTRAL",-68.7925097096,"802","Maza JA","M2702","29214"
-32.9694394664,"LUCCINI ",-68.7953333105,"","Martínez B.","M2703","29215"
-32.9737544179,"JOFRE",-68.7846370839,"1001","Pescara","M2704","29301"
-32.9724808189,"CABRAL",-68.784323936,"1101","Pescara","M2705","29302"
-32.9712544562,"LA PRIDA",-68.784022858,"1201","Pescara","M2706","29303"
-32.9681676597,"CORREA",-68.7833328598,"1401","Pescara","M2707","29304"
-32.9674721366,"BOEDO ",-68.7811098579,"","Correa","M2708","29305"
