"trip_headsign","direction_id","trip_short_name","trip_id","route_id","shape_id"
"014B-Bco Enc Pan.","0","014B - Escolar Blanco Encalada de las 06:08 hs","3166","014","3166"
"014B-Bco Enc Pan.","0","014B - Escolar Blanco Encalada de las 17:00 hs","3175","014","3175"
"014B-Bco Enc Pan.","1","014B - Escolar Blanco Encalda de las 11:40 hs","3169","014","3169"
"014B-Bco Enc Pan.","0","014B - Escolar Blanco Encalada de las 11:40 hs","3170","014","3170"
"014C-BcoEn-Pan-Sol","1","014C - Escolar Blanco Encalada de las 13:00 hs","2273","014","2273"
"014C-BcoEn-Pan-Sol","0","014C - Escolar Blanco Encalada de las 13:00 hs","3176","014","3176"
"014D-BcoEnc-Pan-Nat","1","014D - Escolar Blanco Encalada de las 17:50 hs","2278","014","2278"
"014D-BcoEnc-Pan-Nat","0","014D - Escolar Blanco Encalada de las 17:50 hs","3179","014","3179"
"014D-BcoEnc-Pan-Nat","1","014D - Escolar Blanco Encalada de las 16:25 hs","3177","014","3177"
"014D-BcoEnc-Pan-Nat","0","014D - Escolar Blanco Encalada de las 16:25 hs","3178","014","3178"
"014F-BcoEnc/Pan/Loc.","1","014F - Escolar Blanco Encalada de las 17:40 hs","3186","014","3186"
"014F-BcoEnc/Pan/Loc.","0","014F - Escolar Blanco Encalada de las 17:40 hs","3187","014","3187"
"015-B.Cast.-Ch.-Ctro","1","015 - B. Los Castaños - Chacras de Coria - Centro por Cervantes","2293","015","2293"
"015-B.Cast.-Ch.-Ctro","0","015 - Centro - Chacras - B. Los Castaños por Cervantes","2294","015","2294"
"015-B.Cast.-Ch.-Ctro","1","015 - B. Los Castaños - Chacras de Coria - Centro por Cervantes","2295","015","2295"
"015-B.Cast.-Ch.-Ctro","0","015 - Centro - Chacras de Coria - B  Los Castaños","3050","015","3050"
"015-B.Cast.-Ch.-Ctro","0","015 - Centro - Chacras - B  Los Castaños por Cervantes","2298","015","2298"
"015-B.Cast.-Ch.-Ctro","1","015 - B  Los Castaños - Cementerio Parque Jardin Mendoza - Centro","3058","015","3058"
"016A-L.Ch.S EL.SMSur","1","016 - Lujan - Chacras de Coria por San Martín Sur - Centro","2299","016","2299"
"016A-L.Ch.S EL.SMSur","0","016 - Centro - Chacras por San Martin Sur - Lujan","2300","016","2300"
"016A-L.Ch.S EL.SMSur","1","016 - Lujan - Chacras - Centro por Santa Elena","2301","016","2301"
"016A-L.Ch.S EL.SMSur","0","016 - Centro - Chacras de Coria por Santa Elena - Lujan","2302","016","2302"
"016ES -Esc.S.Elena","1","016 - Escolar Santa Elena de las 07:15 hs","2303","016","2303"
"016ES -Esc.S.Elena","0","016 - Escolar Santa Elena de las 07:15 hs","2304","016","2304"
"016ES -Esc.S.Elena","1","016 - Escolar Santa Elena de las 12:20 hs","2312","016","2312"
"016ES -Esc.S.Elena","0","016 - Escolar Santa Elena de las 12:20","2313","016","2313"
"016ES -Esc.S.Elena","1","016 - Escolar Santa Elena de las 17:40 hs","2320","016","2320"
"016ES -Esc.S.Elena","0","016 - Escolar Santa Elena de las 17:40 hs","2321","016","2321"
"016B-L.UNC.S.El.","1","016 - Santa Elena - Chacras Universidades","2322","016","2322"
"016B-L.UNC.S.El.","0","016 - Universidades - Chacras - Lujan","2323","016","2323"
"016B-L.UNC.S.El.","1","016 - Lujan - Universidades","2324","016","2324"
"016B-L.UNC.S.El.","0","016 - Universidades - Chacras - S. Elena - Lujan","2325","016","2325"
"017-B.Aler-Luj-Maipu","1","017 - Carrodilla - B. Los Alerces - Lujan","2328","017","2328"
"017-B.Aler-Luj-Maipu","0","017 - Lujan - B  Los Alerces - Carrodilla","2329","017","2329"
"017-B.Aler-Luj-Maipu","1","017 - Lujan - Cementerio Lujan - B. Los Alerces","2333","017","2333"
"017-B.Aler-Luj-Maipu","0","017 - Lujan - B. Los Alerces","2334","017","2334"
"017-B.Aler-Luj-Maipu","1","017-Lujan - Maipu","2338","017","2338"
"017-B.Aler-Luj-Maipu","0","017-Maipu - Lujan","2339","017","2339"
"018-Exp. Roca C.Gob.","0","018 - Expreso Roca - Casa de Gobierno","2336","018","2336"
"018-Exp. Roca C.Gob","1","018 - Expreso Roca por Casa de Gobierno","3032","018","3032"
"018-Exp. Roca CGob.","1","018 - Expreso Roca","2337","018","2337"
"018-Exp. Roca C.Gob.","0","018-Expreso Roca","3036","018","3036"
"019A-Luj.Ctro.Drumm.","1","019 - Lujan - Mendoza por Drummond - B. 27 de Abril","2340","019","2340"
"019A-Luj.Ctro.Drumm.","0","019 - Centro - Lujan por Drummond - B. 27 de Abril","2341","019","2341"
"019B-Lj.Huen.Ctro.Lb","1","019 - Lujan - Mendoza por Av. Libertad - B. Las Parras","2342","019","2342"
"019B-Lj.Huen.Ctro.Lb","0","019 - Centro - Lujan por Av. Libertad - B. Las Parras","2343","019","2343"
"019B-Lj.Huen.Ctro.Lb","1","019 - Lujan - Centro por Av. Libertad","2345","019","2345"
"019B-Lj.Huen.Ctro.Lb","0","019 - Centro - Lujan por Av. Libertad","2346","019","2346"
"019B-Lj.Huen.Ctro.Lb","1","019 - Luján - Centro por Av. Libertad - B. Huentota","2347","019","2347"
"019B-Lj.Huen.Ctro.Lb","0","019 - Centro - Lujan por Av. Libertad","2348","019","2348"
"019C-Lj.Ctro.Hue.SMt","1","019 - Lujan - Centro por Av. Libertad","2349","019","2349"
"019C-Lj.Ctro.Hue.SMt","0","019 - Centro - B. Huentota - Lujan por Av. Libertad","2350","019","2350"
"019A-Luj.Ctro.Drumm.","1","019 - Lujan - Centro por Drummond","2351","019","2351"
"019A-Luj.Ctro.Drumm.","0","019 - Centro - Lujan por Drummond","2352","019","2352"
"019EX-Exp.xS.Mt/Drm","1","019 - Expreso Drummond","2353","019","2353"
"019EX-Exp.xS.Mt/Drm","0","019 - Expreso por Drummond","2354","019","2354"
"019C-Lj.Ctro.Hue.SMt","1","019 - Lujan - Mendoza por San Martin","2355","019","2355"
"019C-Lj.Ctro.Hue.SMt","0","019 - Centro - Lujan por San Martin","2356","019","2356"
"019EX-Exp.xS.Mt/Drm","1","019 - Expreso por San Martin","2357","019","2357"
"019EX-Exp.xS.Mt/Drm","0","019 - Expreso por San Martin","2358","019","2358"
"019A-Luj.Ctro.Drumm.","1","019 - Lujan - PIP - Centro","2359","019","2359"
"019A-Luj.Ctro.Drumm.","0","019 - Centro - Lujan por San Martin","2360","019","2360"
"019C-Lj.Ctro.Hue.SMt","1","019 - Lujan Centro por San Martin","2361","019","2361"
"019C-Lj.Ctro.Hue.SMt","0","019 - Centro - Lujan - PIP","2362","019","2362"
"031-CENTRO","1","NULL","2204","031","2204"
"031-G.CRUZ.CENTRO","0","NULL","2317","031","2317"
"031G.CRZ.CTO.S/C.GOB","1","NULL","2561","031","2561"
"31G.CRUZ.PLAZA","0","NULL","2562","031","2562"
"032-ESTANZUELA CNTRO","1","032-ESTANZUELA CNTRO","2207","032","2207"
"032-ESTANZUELA","0","NULL","2208","032","2208"
"032BES.XPASO.S/C.GOB","1","032BES.XPASO.S/C.GOB","2563","032","2563"
"32EST.G.CRUZ","0","NULL","2564","032","2564"
"033-GODOY CRUZ","0","NULL","2209","033","2209"
"033-LAS HERAS","1","NULL","2210","033","2210"
"034-VIN.X OESTE.LAGO","1","NULL","2215","034","2215"
"34-GODOY CRUZ","0","NULL","2216","034","2216"
"034-VIN.ESTAN.LAGO.M","1","NULL","2218","034","2218"
"34.ESTANZUELA G.CRUZ","0","NULL","2219","034","2219"
"34VIN.X.OESTE.G.CRUZ","0","NULL","2547","034","2547"
"034B VIN.OESTE.S/UNC","1","NULL","2546","034","2546"
"034B VIN.B EST.S/UNC","1","NULL","2558","034","2558"
"034B VIN.B ESTA.GC","0","NULL","2559","034","2559"
"034B VIN.LAGO.B.FUCH","1","NULL","2475","034","2475"
"034B VIN.O.G.C.BFUCH","0","NULL","2476","034","2476"
"034B REF.VIN.UNC","1","NULL","2550","034","2550"
"034C REF.VIN.EST.L.A","1","NULL","2551","034","2551"
"034R.VIN.EST.LIC.CTO","1","NULL","2552","034","2552"
"034RE.VIN.O.LIC.UNC","1","NULL","2553","034","2553"
"035-PABLO VI LIC UNC","1","NULL","2211","035","2211"
"35-PABLO VI","0","NULL","2212","035","2212"
"035 REF.LICEO","1","NULL","2548","035","2548"
"035REF.B.PBLOV.CTROL","1","NULL","2549","035","2549"
"041-Foec.xPza.Ctro","1","041 - Foecyt - Sarmiento x Plaza de Godoy Cruz - Estanzuela Directo","2643","041","2643"
"041-Foec.xPza.Ctro","0","041 - Foecyt - Sarmiento x Plaza de Godoy Cruz - Estanzuela Directo","2644","041","2644"
"041-Foec.xPza.Ctro","1","041 - Foecyt - Sarmiento por San Martin - Estanzuela por Plaza de Godoy Cruz","2645","041","2645"
"041-Foec.xPza.Ctro","0","041 - Foecyt - Sarmiento por San Martin - Estanzuela por Plaza de Godoy Cruz","2647","041","2647"
"041-Foec.Dir.Ctro.","1","041 - Foecyt - Sarmiento por San Martín - Estanzuela por Plaza de Godoy Cruz - B  Ruiseñor","2648","041","2648"
"041-Foec.xPza.Ctro","0","041 - Foecyt - Sarmiento por San Martín - Estanzuela por Plaza de Godoy Cruz - B  Ruiseñor","2649","041","2649"
"042-B.FuchsXPza.Ctro","1","042 - B  Fuchs por Plaza de Gody Cruz","2650","042","2650"
"042-B.FuchsXPza.Ctro","0","042 - B  Fuchs por Plaza de Godoy Cruz","2651","042","2651"
"043-Palmares.Centro","1","043 - Palmares x Italia - Centro - Palmares","2652","043","2652"
"043-Palmares.Centro","0","043 - Palmares x Italia - Centro - Palmares","2653","043","2653"
"044-ExpresoXP.Andes","1","044 - Expreso por Paso de Los Andes","2654","044","2654"
"044-ExpresoXP.Andes","0","044 - Expreso por Paso de Los Andes","2656","044","2656"
"045-Est.Directo.Ctro","1","045 - B  La Estanzuela por Plaza de Godoy Cruz - Centro - FoecYt","2657","045","2657"
"045-Est.Directo.Ctro","0","045 - B  La Estanzuela por Plaza de Godoy Cruz - Centro - FoecYt","2658","045","2658"
"045-Est-CtroDir/Ruis","1","045 - Estanzuela Directo - Centro - FoecYt","2659","045","2659"
"045-EstCtro Dir/Ruis","0","045 - Estanzuela Directo - Centro - FoecYt","2661","045","2661"
"045-EstCtroDir/Ruis ","1","045 - B  Ruiseñor - Estanzuela por San Martin - FOECyT","2662","045","2662"
"045-EstCtro DirRuis","0","045 - B  Ruiseñor - Estanzuela por San Martin - FOECyT","2663","045","2663"
"046-Mosc.Bombal.Ctro","1","046 - Mosconi - Bombal - Centro - Mosconi","2664","046","2664"
"046-Ctro.Bombal.Mosc","0","046 - Mosconi - Bombal - Centro - Mosconi","2666","046","2666"
"046-Mosc.Bombal.Ctro","1","046 - Expreso Mosconi por Paso de Los Andes","2667","046","2667"
"046-Mosc.Bombal.Ctro","0","046 - Mosconi Expreso por Paso de Los Andes","2668","046","2668"
"047-Vinculacion O-E","1","047 - Servicio Vinculacion Oeste - Este","3159","047","3159"
"047-Vinculacion O-E","0","047 - Servicio Vinculacion Oeste - Este","3161","047","3161"
"051A S.ANA-PQUE","1","SANTA ANA - PARQUE SAN MARTIN","2363","051","2363"
"051A S.ANA-PQUE","0","NULL","2364","051","2364"
"051A S.ANA-PQUE","1","NULL","2366","051","2366"
"051A S.ANA-PQUE","0","NULL","2554","051","2554"
"051A S.ANA-PQUE","0","NULL","2380","051","2380"
"051A S.ANA-PQUE","1","NULL","2560","051","2560"
"051B S.ANA-SHOP-PQUE","1","NULL","2867","051","2867"
"051B S.ANA-SHOP-PQUE","0","NULL","2868","051","2868"
"051B S.ANA-SHOP-PQUE","1","NULL","2865","051","2865"
"051B S.ANA-SHOP-PQUE","0","NULL","2866","051","2866"
"052A MUN-SLNZO-C.GOB","1","NULL","2381","052","2381"
"052A MUN-SLNZO-C.GOB","0","NULL","2382","052","2382"
"052A MUN-SLNZO-C.GOB","1","NULL","2571","052","2571"
"052A MUN-SLNZO-C.GOB","0","NULL","2573","052","2573"
"052A MUN-SLNZO-C.GOB","1","NULL","2576","052","2576"
"052A MUN-SLNZO-C.GOB","0","NULL","2577","052","2577"
"052B MUN-S.LNZO-MUN","1","NULL","2578","052","2578"
"052B MUN-S.LNZO-MUN","0","NULL","2579","052","2579"
"052B MUN-S.LNZO-MUN","1","NULL","2580","052","2580"
"052B MUN-S.LNZO-MUN","0","NULL","2581","052","2581"
"052B MUN-S.LNZO-MUN","1","NULL","2582","052","2582"
"052B MUN-S.LNZO-MUN","0","NULL","2583","052","2583"
"052C S.LNZO-H.L-UNC","1","NULL","2584","052","2584"
"052C S.LNZO-H.L-UNC","0","NULL","2585","052","2585"
"052C S.LNZO-H.L-UNC","1","NULL","2395","052","2395"
"052C S.LNZO-H.L-UNC","0","NULL","2396","052","2396"
"052C S.LNZO-H.L-UNC","1","NULL","2587","052","2587"
"052C S.LNZO-H.L-UNC","0","NULL","2815","052","2815"
"052D S.LNZO-UNC-LIC","0","NULL","2400","052","2400"
"052D S.LNZO-UNC-LIC","1","NULL","2609","052","2609"
"053A MUN-BELGR-C.GOB","1","NULL","2589","053","2589"
"053A MUN-BELGR-C.GOB","0","NULL","2590","053","2590"
"053A MUN-BELGR-C.GOB","1","NULL","2403","053","2403"
"053A MUN-BELGR-C.GOB","0","NULL","2591","053","2591"
"053A MUN-BELGR-C.GOB","1","NULL","2592","053","2592"
"053A MUN-BELGR-C.GOB","0","NULL","2593","053","2593"
"053B MUN-BELGRANO","0","NULL","2408","053","2408"
"053B MUN-BELGRANO","1","NULL","2588","053","2588"
"053B MUN-BELGRANO","1","NULL","2594","053","2594"
"053B MUN-BELGRANO","0","NULL","2595","053","2595"
"053B MUN-BELGRANO","1","NULL","2596","053","2596"
"053B MUN-BELGRANO","0","NULL","2597","053","2597"
"053C BELGNO-H.L-UNC","1","NULL","2598","053","2598"
"053C BELGNO-H.L-UNC","0","NULL","2599","053","2599"
"053C BELGNO-H.L-UNC","0","NULL","2416","053","2416"
