"route_id","route_short_name","route_type","route_desc"
"011","011","Bus","011A-CARR-CG-CTROxFA"
"011","011","Bus","011A-Ctro-CarrxF.A. "
"011","011","Bus","011A-Carr-Ctro.xF.A."
"011","011","Bus","011A-Carr-Ctro.XF.A."
"011","011","Bus","011B-B21-Ctro.xF.A."
"011","011","Bus","011B-B21-Ctro.xF.A."
"011","011","Bus","011A-Carr-CtroxF.A."
"011","011","Bus","011A-Carr-Ctro.xF.A."
"011","011","Bus","011C-Ctro-B21-Carr"
"011","011","Bus","011C-Ctro-B21-Carr"
"011","011","Bus","011C-Ctro-B21-Carr"
"011","011","Bus","011C-Ctro-B21-Carr"
"011","011","Bus","011B-B21-Ctro.xF.A."
"011","011","Bus","011B-B21-Ctro.xF.A."
"011","011","Bus","011B-B21-Ctro.xF.A."
"011","011","Bus","011B-B21-Ctro.xF.A."
"012","012","Bus","012-F.Cuyo-Chac-Ctro"
"012","012","Bus","012-FCuyo-Casta-Ctro"
"012","012","Bus","012-F.Cuyo-Ctro"
"012","012","Bus","012-F.Cuyo-Ctro"
"012","012","Bus","012-F.Cuyo-Chac-Ctro"
"012","012","Bus","012-F.Cuyo-Chac-Ctro"
"013","013","Bus","013-Ctro-LHerasxROCA"
"013","013","Bus","013-LHer.CarrodxROCA"
"013","013","Bus","013-Carr-LHerasxROCA"
"013","013","Bus","013-LASHER.CARRxROCA"
"013","013","Bus","013ES - Esc. Roca"
"013","013","Bus","013ES - Esc. Roca"
"013","013","Bus","013ES -Esc. Roca"
"013","013","Bus","013ES - Esc. Roca"
"013","013","Bus","013ES - Esc. Roca"
"013","013","Bus","013ES - Esc. Roca"
"013","013","Bus","013ES1 - Esc.Goretti"
"013","013","Bus","013ES1 - Esc.Goretti"
"014","014","Bus","014A-Blanc.Enc.SP/GV"
"014","014","Bus","014A-Blanc Enc.SP/GV"
"014","014","Bus","014A-Bco.Enc.SP/GV"
"014","014","Bus","014A-Bco.Enc.SP/GV"
"014","014","Bus","014A-Bco.Enc.SP/GV"
"014","014","Bus","014A-Bco.Enc.SP/GV"
"014","014","Bus","014B-Bco Enc Pan."
"014","014","Bus","014B-Bco Enc Pan."
"014","014","Bus","014C-BcoEn-Pan-Sol"
"014","014","Bus","014C-BcoEn-Pan-Sol"
"014","014","Bus","014C-BcoEn-Pan-Sol"
"014","014","Bus","014C-BcoEn-Pan-Sol"
"014","014","Bus","014D-BcoEnc-Pan-Nat"
"014","014","Bus","014D-BcoEnc-Pan-Nat"
"014","014","Bus","014E-BcoEnc-Pan-Loc."
"014","014","Bus","014E-BcoEnc-Pan-Loc."
"014","014","Bus","014E-BcoEnc-Pan-Loc."
"014","014","Bus","014E-BcoEnc-Pan-Loc."
"014","014","Bus","014E-BcoEnc-Pan-Loc."
"014","014","Bus","014E-BcoEnc-Pan-Loc."
"014","014","Bus","014F-BcoEnc/Pan/Loc."
"014","014","Bus","014F-BcoEnc/Pan/Loc."
"014","014","Bus","014F-BcoEnc/Pan/Loc."
