"service_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday"
"H","20140801","20141201","1","1","1","1","1","0","0"
"S","20140801","20141201","0","0","0","0","0","1","0"
"D","20140801","20141201","0","0","0","0","0","0","1"
